Şəhər,Model,Yeni,Mühərrik,Yürüş,Ötürücü,price,Sürətlər qutusu,Rəng,Qəzalı,url,Sahiblər,Marka,Vəziyyəti,Hansı bazar üçün yığılıb,Buraxılış ili,Yerlərin sayı,Ban növü
Bakı,L6,Bəli,787 a.g. / Elektro,0 km,Tam,≈ 82 790 AZN,Avtomat (Reduktor),Mavi,,https://turbo.az/autos/9031269-im-l6,,IM,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2025,5,Liftbek
Bakı,Land Cruiser Prado,Bəli,2.8 L / 204 a.g. / Dizel,0 km,Tam,≈ 144 160 AZN,Avtomat (AT),Qızılı,,https://turbo.az/autos/8599063-toyota-land-cruiser-prado,,Toyota,"Vuruğu yoxdur, rənglənməyib",Avropa,2024,7,"Offroader / SUV, 5 qapı"
Bakı,E 220,Xeyr,2.2 L / 150 a.g. / Dizel,315 000 km,Arxa,17 800 AZN,Avtomat (AT),Gümüşü,,https://turbo.az/autos/9655358-mercedes-e-220,,Mercedes,"Vuruğu yoxdur, rənglənməyib",Avropa,2007,5,Sedan
Bakı,Crosstrek,Bəli,2.0 L / 156 a.g. / Benzin,0 km,Tam,≈ 50 830 AZN,Avtomat (Variator),Yaş Asfalt,,https://turbo.az/autos/9272806-subaru-crosstrek,,Subaru,"Vuruğu yoxdur, rənglənməyib",Avropa,2024,,"Offroader / SUV, 5 qapı"
Göyçay,Sorento,Xeyr,2.0 L / 186 a.g. / Dizel,148 000 km,Ön,37 500 AZN,Avtomat (AT),Yaş Asfalt,,https://turbo.az/autos/9723770-kia-sorento,0,Kia,"Vuruğu yoxdur, rənglənməyib",Koreya,2016,5,"Offroader / SUV, 5 qapı"
Bakı,K5,Xeyr,2.0 L / 151 a.g. / Qaz,102 000 km,Ön,26 000 AZN,Avtomat (AT),Gümüşü,,https://turbo.az/autos/9671256-kia-k5,,Kia,"Vuruğu yoxdur, rənglənməyib",Koreya,2016,5,Sedan
Bakı,C 230,Xeyr,2.3 L / 150 a.g. / Benzin,230 000 km,Arxa,12 800 AZN,Avtomat (AT),Göy,,https://turbo.az/autos/9725526-mercedes-c-230,0,Mercedes,"Vuruğu yoxdur, rənglənməyib",Amerika,1998,5,Sedan
Bakı,Santa Fe,Xeyr,2.0 L / 184 a.g. / Dizel,220 000 km,Ön,19 000 AZN,Avtomat (AT),Gümüşü,,https://turbo.az/autos/9732399-hyundai-santa-fe,,Hyundai,"Vuruğu yoxdur, rənglənməyib",Koreya,2009,7,"Offroader / SUV, 5 qapı"
Bakı,C 230,Xeyr,2.3 L / 193 a.g. / Benzin,333 000 km,Arxa,8 500 AZN,Avtomat (AT),Gümüşü,,https://turbo.az/autos/9731211-mercedes-c-230,,Mercedes,"Vuruğu yoxdur, rənglənib",Digər,2000,5,Sedan
Bakı,AMG EQE 53 4MATIC,Xeyr,687 a.g. / Elektro,11 000 km,Tam,210 000 AZN,Avtomat (Reduktor),Qara,,https://turbo.az/autos/9728105-mercedes-amg-eqe-53-4matic,0,Mercedes,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2023,5,"Offroader / SUV, 5 qapı"
Bakı,Sorento,Xeyr,2.0 L / 186 a.g. / Dizel,119 200 km,Ön,38 300 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9689059-kia-sorento,0,Kia,"Vuruğu yoxdur, rənglənməyib",Koreya,2016,5,"Offroader / SUV, 5 qapı"
Bakı,Axor 1840,Xeyr,12 L / 440 a.g. / Dizel,440 000 km,Tam,32 000 AZN,Mexaniki (MT),Ağ,,https://turbo.az/autos/9377238-mercedes-axor-1840,0,Mercedes,"Vuruğu yoxdur, rənglənməyib",Avropa,2005,,Yük maşını
Bakı,i5,Xeyr,355 a.g. / Elektro,13 000 km,Tam,≈ 113 050 AZN,Avtomat (Reduktor),Göy,,https://turbo.az/autos/9236641-bmw-i5,,BMW,"Vuruğu yoxdur, rənglənməyib",Avropa,2023,5,Sedan
Bakı,Sonata,Xeyr,2.0 L / 195 a.g. / Hibrid,57 936 km,Ön,33 900 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9675222-hyundai-sonata,0,Hyundai,"Vuruğu yoxdur, rənglənib",Amerika,2021,5,Sedan
Bakı,Camry,Xeyr,2.5 L / 206 a.g. / Benzin,150 000 km,Ön,40 800 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9729481-toyota-camry,,Toyota,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2019,5,Sedan
Bakı,Sportage,Xeyr,2.0 L / 140 a.g. / Benzin,281 000 km,Ön,15 800 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9713612-kia-sportage,,Kia,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2009,5,"Offroader / SUV, 5 qapı"
Bakı,Optima,Xeyr,2.0 L / 278 a.g. / Benzin,164 296 km,Ön,22 900 AZN,Avtomat (AT),Boz,,https://turbo.az/autos/9666351-kia-optima,0,Kia,"Vuruğu yoxdur, rənglənməyib",Amerika,2014,5,Sedan
Sumqayıt,E 240,Xeyr,2.4 L / 170 a.g. / Benzin,399 328 km,Arxa,10 900 AZN,Avtomat (AT),Gümüşü,,https://turbo.az/autos/9724599-mercedes-e-240,,Mercedes,"Vuruğu yoxdur, rənglənməyib",,1999,5,Sedan
Bakı,Mustang,Xeyr,2.3 L / 309 a.g. / Benzin,220 000 km,Arxa,25 700 AZN,Avtomat (AT),Sarı,,https://turbo.az/autos/9546033-ford-mustang,0,Ford,"Vuruğu yoxdur, rənglənməyib",,2015,,Kabriolet
Bakı,CS 55 Plus,Bəli,1.5 L / 313 a.g. / Plug-in Hibrid,0 km,Ön,31 300 AZN,Avtomat (Variator),Ağ,,https://turbo.az/autos/9585271-changan-cs-55-plus,0,Changan,"Vuruğu yoxdur, rənglənməyib",Çin,2025,,"Offroader / SUV, 5 qapı"
Sumqayıt,Tucson,Xeyr,2.0 L / 140 a.g. / Benzin,347 010 km,Tam,16 500 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9721120-hyundai-tucson,0,Hyundai,"Vuruğu yoxdur, rənglənməyib",Avropa,2008,5,"Offroader / SUV, 5 qapı"
Bakı,520,Xeyr,2.0 L / 190 a.g. / Dizel,168 000 km,Arxa,≈ 44 030 AZN,Avtomat (AT),Boz,,https://turbo.az/autos/9736211-bmw-520,,BMW,"Vuruğu yoxdur, rənglənməyib",Koreya,2017,5,Sedan
Bakı,Elantra,Xeyr,2.0 L / 150 a.g. / Benzin,103 000 km,Ön,23 300 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9659457-hyundai-elantra,0,Hyundai,"Vuruğu yoxdur, rənglənməyib",Amerika,2019,5,Sedan
Bakı,Grandeur,Xeyr,2.4 L / 180 a.g. / Benzin,179 000 km,Ön,23 700 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9703109-hyundai-grandeur,,Hyundai,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2013,5,Sedan
Sumqayıt,Prius,Xeyr,1.5 L / 76 a.g. / Hibrid,431 304 km,Ön,12 900 AZN,Avtomat (Variator),Boz,,https://turbo.az/autos/9740302-toyota-prius,1,Toyota,"Vuruğu yoxdur, rənglənməyib",Amerika,2008,,Liftbek
Bakı,RR Velar,Xeyr,2.0 L / 250 a.g. / Benzin,84 000 km,Tam,74 750 AZN,Avtomat (AT),Boz,,https://turbo.az/autos/9733846-land-rover-rr-velar,0,Land Rover,"Vuruğu yoxdur, rənglənib",Amerika,2018,5,SUV Kupe
Bakı,K5,Xeyr,1.6 L / 180 a.g. / Benzin,38 000 km,Ön,36 900 AZN,Avtomat (AT),Boz,,https://turbo.az/autos/9652679-kia-k5,,Kia,"Vuruğu yoxdur, rənglənməyib",,2021,5,Sedan
Bakı,C 300,Xeyr,2.0 L / 249 a.g. / Benzin,49 800 km,Arxa,≈ 47 430 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9650326-mercedes-c-300,0,Mercedes,"Vuruğu yoxdur, rənglənməyib",,2019,5,Sedan
Bakı,E 220 d,Xeyr,2.2 L / 194 a.g. / Dizel,50 000 km,Arxa,≈ 77 350 AZN,Avtomat (AT),Boz,,https://turbo.az/autos/9343385-mercedes-e-220-d,1,Mercedes,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2020,4,Sedan
Bakı,V 220,Xeyr,2.2 L / 163 a.g. / Dizel,164 000 km,Arxa,≈ 57 630 AZN,Mexaniki (MT),Qara,,https://turbo.az/autos/9400664-mercedes-v-220,,Mercedes,"Vuruğu yoxdur, rənglənməyib",Avropa,2017,5,Minivan
Bakı,Hilux,Xeyr,2.5 L / 144 a.g. / Dizel,254 000 km,Tam,29 500 AZN,Mexaniki (MT),Ağ,,https://turbo.az/autos/9737146-toyota-hilux,,Toyota,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2012,5,"Pikap, ikiqat kabin"
Bakı,Coolray,Xeyr,1.5 L / 181 a.g. / Benzin,19 800 km,Ön,33 900 AZN,Avtomat (Robot),Yaş Asfalt,,https://turbo.az/autos/9664776-geely-coolray,0,Geely,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2024,5,"Offroader / SUV, 5 qapı"
Bakı,Grandeur,Xeyr,2.4 L / 201 a.g. / Benzin,235 000 km,Ön,24 300 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9726531-hyundai-grandeur,,Hyundai,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2013,5,Sedan
Bakı,528,Xeyr,2.0 L / 245 a.g. / Benzin,111 000 km,Arxa,≈ 33 150 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9697477-bmw-528,0,BMW,"Vuruğu yoxdur, rənglənməyib",Amerika,2016,5,Sedan
Bakı,Camry,Xeyr,2.4 L / 245 a.g. / Benzin,186 000 km,Ön,24 800 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9684308-toyota-camry,1,Toyota,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2011,,Sedan
Bakı,C 180,Xeyr,1.8 L / 122 a.g. / Benzin,394 000 km,Arxa,11 900 AZN,Avtomat (AT),Boz,,https://turbo.az/autos/9730297-mercedes-c-180,0,Mercedes,"Vuruğu yoxdur, rənglənib",Avropa,1998,5,Sedan
Bakı,X7,Xeyr,3.0 L / 400 a.g. / Dizel,66 000 km,Tam,≈ 127 500 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9600537-bmw-x7,,BMW,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2019,,"Offroader / SUV, 5 qapı"
Bakı,GS 300,Xeyr,2.0 L / 245 a.g. / Benzin,95 693 km,Ön,≈ 33 150 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9611269-lexus-gs-300,0,Lexus,"Vuruğu yoxdur, rənglənməyib",Amerika,2015,5,Sedan
Bakı,V 250,Xeyr,2.0 L / 211 a.g. / Benzin,70 000 km,Arxa,≈ 88 400 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9635524-mercedes-v-250,0,Mercedes,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2018,7,Minivan
Bakı,Ducato,Bəli,2.2 L / 140 a.g. / Dizel,0 km,Ön,55 600 AZN,Mexaniki (MT),Ağ,,https://turbo.az/autos/8947803-fiat-ducato,,Fiat,"Vuruğu yoxdur, rənglənməyib",Avropa,2025,3,Yük maşını
Bakı,E 280 4MATIC,Xeyr,3.0 L / 190 a.g. / Dizel,364 000 km,Tam,25 500 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9602582-mercedes-e-280-4matic,1,Mercedes,"Vuruğu yoxdur, rənglənməyib",Avropa,2006,5,Sedan
Bakı,SD,Xeyr,1.7 L / 113 a.g. / Benzin,230 000 km,Ön,9 500 AZN,Mexaniki (MT),Ağ,,https://turbo.az/autos/9734504-khazar-sd,0,Khazar,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2019,5,Sedan
Bakı,Santa Fe,Xeyr,2.2 L / 197 a.g. / Dizel,239 544 km,Ön,21 900 AZN,Avtomat (AT),Gümüşü,,https://turbo.az/autos/9718614-hyundai-santa-fe,0,Hyundai,"Vuruğu yoxdur, rənglənməyib",,2011,7,"Offroader / SUV, 5 qapı"
Bakı,E 240,Xeyr,2.6 L / 177 a.g. / Benzin,323 000 km,Arxa,8 900 AZN,Avtomat (AT),Gümüşü,,https://turbo.az/autos/9741445-mercedes-e-240,,Mercedes,"Vuruğu yoxdur, rənglənməyib",Avropa,2003,5,"Universal, 5 qapı"
Bakı,Forte,Xeyr,2.0 L / 147 a.g. / Benzin,93 000 km,Ön,25 600 AZN,Avtomat (Variator),Yaş Asfalt,,https://turbo.az/autos/9719781-kia-forte,0,Kia,"Vuruğu yoxdur, rənglənməyib",,2019,5,Sedan
Bakı,X5,Xeyr,3.0 L / 231 a.g. / Benzin,268 000 km,Tam,18 000 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9519181-bmw-x5,,BMW,"Vuruğu yoxdur, rənglənməyib",Amerika,2006,5,"Offroader / SUV, 5 qapı"
Bakı,Malibu,Xeyr,1.5 L / 160 a.g. / Benzin,257 000 km,Ön,16 000 AZN,Avtomat (AT),Göy,,https://turbo.az/autos/9665947-chevrolet-malibu,,Chevrolet,"Vuruğu yoxdur, rənglənməyib",Amerika,2016,5,Sedan
Bakı,XF 460 FT,Xeyr,13 L / 460 a.g. / Dizel,733 000 km,Arxa,77 000 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9337816-daf-xf-460-ft,2,DAF,"Vuruğu yoxdur, rənglənməyib",Avropa,2017,2,Dartqı
Bakı,Grandeur,Xeyr,2.4 L / 180 a.g. / Benzin,179 000 km,Ön,23 700 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9703109-hyundai-grandeur,,Hyundai,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2013,5,Sedan
Sumqayıt,Prius,Xeyr,1.5 L / 76 a.g. / Hibrid,431 304 km,Ön,12 900 AZN,Avtomat (Variator),Boz,,https://turbo.az/autos/9740302-toyota-prius,1,Toyota,"Vuruğu yoxdur, rənglənməyib",Amerika,2008,,Liftbek
Bakı,RR Velar,Xeyr,2.0 L / 250 a.g. / Benzin,84 000 km,Tam,74 750 AZN,Avtomat (AT),Boz,,https://turbo.az/autos/9733846-land-rover-rr-velar,0,Land Rover,"Vuruğu yoxdur, rənglənib",Amerika,2018,5,SUV Kupe
Bakı,K5,Xeyr,1.6 L / 180 a.g. / Benzin,38 000 km,Ön,36 900 AZN,Avtomat (AT),Boz,,https://turbo.az/autos/9652679-kia-k5,,Kia,"Vuruğu yoxdur, rənglənməyib",,2021,5,Sedan
Bakı,C 300,Xeyr,2.0 L / 249 a.g. / Benzin,49 800 km,Arxa,≈ 47 430 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9650326-mercedes-c-300,0,Mercedes,"Vuruğu yoxdur, rənglənməyib",,2019,5,Sedan
Bakı,E 220 d,Xeyr,2.2 L / 194 a.g. / Dizel,50 000 km,Arxa,≈ 77 350 AZN,Avtomat (AT),Boz,,https://turbo.az/autos/9343385-mercedes-e-220-d,1,Mercedes,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2020,4,Sedan
Bakı,V 220,Xeyr,2.2 L / 163 a.g. / Dizel,164 000 km,Arxa,≈ 57 630 AZN,Mexaniki (MT),Qara,,https://turbo.az/autos/9400664-mercedes-v-220,,Mercedes,"Vuruğu yoxdur, rənglənməyib",Avropa,2017,5,Minivan
Bakı,Hilux,Xeyr,2.5 L / 144 a.g. / Dizel,254 000 km,Tam,29 500 AZN,Mexaniki (MT),Ağ,,https://turbo.az/autos/9737146-toyota-hilux,,Toyota,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2012,5,"Pikap, ikiqat kabin"
Bakı,Coolray,Xeyr,1.5 L / 181 a.g. / Benzin,19 800 km,Ön,33 900 AZN,Avtomat (Robot),Yaş Asfalt,,https://turbo.az/autos/9664776-geely-coolray,0,Geely,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2024,5,"Offroader / SUV, 5 qapı"
Bakı,Grandeur,Xeyr,2.4 L / 201 a.g. / Benzin,235 000 km,Ön,24 300 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9726531-hyundai-grandeur,,Hyundai,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2013,5,Sedan
Bakı,528,Xeyr,2.0 L / 245 a.g. / Benzin,111 000 km,Arxa,≈ 33 150 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9697477-bmw-528,0,BMW,"Vuruğu yoxdur, rənglənməyib",Amerika,2016,5,Sedan
Bakı,Camry,Xeyr,2.4 L / 245 a.g. / Benzin,186 000 km,Ön,24 800 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9684308-toyota-camry,1,Toyota,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2011,,Sedan
Bakı,C 180,Xeyr,1.8 L / 122 a.g. / Benzin,394 000 km,Arxa,11 900 AZN,Avtomat (AT),Boz,,https://turbo.az/autos/9730297-mercedes-c-180,0,Mercedes,"Vuruğu yoxdur, rənglənib",Avropa,1998,5,Sedan
Sumqayıt,Astra,Xeyr,1.6 L / 103 a.g. / Benzin,318 434 km,Ön,7 200 AZN,Mexaniki (MT),Gümüşü,,https://turbo.az/autos/9736426-opel-astra,0,Opel,"Vuruğu yoxdur, rənglənməyib",Avropa,1998,5,"Universal, 5 qapı"
Xaçmaz,Elantra,Xeyr,2.0 L / 157 a.g. / Benzin,44 000 km,Ön,32 900 AZN,Avtomat (AT),Boz,,https://turbo.az/autos/9699574-hyundai-elantra,0,Hyundai,"Vuruğu yoxdur, rənglənməyib",Amerika,2022,5,Sedan
Bakı,S 350,Xeyr,3.0 L / 235 a.g. / Dizel,192 000 km,Arxa,28 800 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9571236-mercedes-s-350,,Mercedes,"Vuruğu yoxdur, rənglənməyib",Avropa,2009,,Sedan
Bakı,328,Xeyr,2.0 L / 245 a.g. / Benzin,152 000 km,Tam,≈ 23 290 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9183620-bmw-328,0,BMW,"Vuruğu yoxdur, rənglənməyib",Amerika,2014,5,Sedan
Bakı,Corolla,Xeyr,1.8 L / 98 a.g. / Hibrid,105 212 km,Ön,25 300 AZN,Avtomat (Variator),Yaş Asfalt,,https://turbo.az/autos/9553879-toyota-corolla,,Toyota,"Vuruğu yoxdur, rənglənməyib",Avropa,2022,5,Sedan
Bakı,JS2,Bəli,1.5 L / 113 a.g. / Benzin,0 km,Ön,21 350 AZN,Avtomat (Variator),Ağ,,https://turbo.az/autos/9540423-jac-js2,,JAC,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2025,5,"Offroader / SUV, 5 qapı"
Bakı,E 350,Xeyr,3.5 L / 272 a.g. / Benzin,250 500 km,Arxa,19 300 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9491640-mercedes-e-350,,Mercedes,"Vuruğu yoxdur, rənglənməyib",,2008,5,Sedan
Bakı,Deepal S09,Bəli,1.5 L / 492 a.g. / Plug-in Hibrid,0 km,Tam,≈ 83 130 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9741620-changan-deepal-s09,,Changan,"Vuruğu yoxdur, rənglənməyib",,2025,5,"Offroader / SUV, 5 qapı"
Bakı,Nexia R3,Xeyr,1.5 L / 107 a.g. / Benzin,500 800 km,Ön,9 200 AZN,Mexaniki (MT),Ağ,,https://turbo.az/autos/9741604-ravon-nexia-r3,,Ravon,"Vuruğu yoxdur, rənglənməyib",Avropa,2017,5,Sedan
Bakı,Land Cruiser Prado,Xeyr,2.7 L / 163 a.g. / Benzin,91 000 km,Tam,≈ 49 898 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9581001-toyota-land-cruiser-prado,0,Toyota,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2013,7,"Offroader / SUV, 5 qapı"
Bakı,Santa Fe,Xeyr,2.2 L / 197 a.g. / Dizel,280 000 km,Tam,22 900 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9741619-hyundai-santa-fe,,Hyundai,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2011,,"Offroader / SUV, 5 qapı"
Bakı,Qiyuan Q07,Bəli,1.5 L / 224 a.g. / Plug-in Hibrid,0 km,Ön,≈ 29 070 AZN,Avtomat (Variator),Qara,,https://turbo.az/autos/9353477-changan-qiyuan-q07,0,Changan,"Vuruğu yoxdur, rənglənməyib",Çin,2025,,"Offroader / SUV, 5 qapı"
Bakı,Galaxy Starship 7,Bəli,1.5 L / 218 a.g. / Plug-in Hibrid,0 km,Ön,≈ 36 890 AZN,Avtomat (DHT),Açıq yaşıl,,https://turbo.az/autos/9672409-geely-galaxy-starship-7,,Geely,"Vuruğu yoxdur, rənglənməyib",Çin,2025,5,"Offroader / SUV, 5 qapı"
Bakı,Deepal S7,Bəli,1.5 L / 238 a.g. / Plug-in Hibrid,0 km,Arxa,≈ 44 030 AZN,Avtomat (Reduktor),Qara,,https://turbo.az/autos/9623821-changan-deepal-s7,,Changan,"Vuruğu yoxdur, rənglənməyib",,2025,5,"Offroader / SUV, 5 qapı"
Bakı,Uni-Z,Bəli,1.5 L / 215 a.g. / Plug-in Hibrid,0 km,Ön,33 900 AZN,Avtomat (Variator),Ağ,,https://turbo.az/autos/9689273-changan-uni-z,,Changan,"Vuruğu yoxdur, rənglənməyib",Çin,2025,5,"Offroader / SUV, 5 qapı"
Goranboy,X5,Xeyr,2.0 L / 313 a.g. / Plug-in Hibrid,182 133 km,Tam,47 000 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9677889-bmw-x5,0,BMW,"Vuruğu yoxdur, rənglənməyib",Amerika,2015,,"Offroader / SUV, 5 qapı"
Bakı,CS 55 Plus,Bəli,1.5 L / 313 a.g. / Plug-in Hibrid,0 km,Ön,30 000 AZN,Avtomat (Variator),Ağ,,https://turbo.az/autos/9675945-changan-cs-55-plus,,Changan,"Vuruğu yoxdur, rənglənməyib",Çin,2025,5,"Offroader / SUV, 5 qapı"
Bakı,Equinox,Xeyr,1.5 L / 170 a.g. / Benzin,222 200 km,Ön,23 500 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9700124-chevrolet-equinox,0,Chevrolet,"Vuruğu yoxdur, rənglənib",Amerika,2018,5,"Offroader / SUV, 5 qapı"
Bakı,Prius,Xeyr,1.8 L / 98 a.g. / Hibrid,281 000 km,Ön,14 900 AZN,Avtomat (Variator),Qızılı,,https://turbo.az/autos/9717301-toyota-prius,,Toyota,"Vuruğu yoxdur, rənglənməyib",Amerika,2011,5,Liftbek
Bakı,Elantra,Xeyr,2.0 L / 150 a.g. / Benzin,160 934 km,Ön,19 900 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9700371-hyundai-elantra,0,Hyundai,"Vuruğu var, rənglənməyib",Amerika,2017,5,Sedan
Bakı,GLE 53 AMG Coupe,Xeyr,3.0 L / 435 a.g. / Benzin,72 000 km,Tam,≈ 127 500 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9264200-mercedes-gle-53-amg-coupe,2,Mercedes,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2020,5,SUV Kupe
Bakı,Edge,Xeyr,3.5 L / 288 a.g. / Benzin,270 000 km,Tam,25 500 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9695357-ford-edge,0,Ford,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2013,5,"Offroader / SUV, 5 qapı"
Bakı,Tiida,Xeyr,1.6 L / 110 a.g. / Benzin,302 700 km,Ön,11 500 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9661734-nissan-tiida,,Nissan,"Vuruğu yoxdur, rənglənməyib",Avropa,2006,5,Sedan
Bakı,Land Cruiser Prado,Xeyr,2.8 L / 204 a.g. / Dizel,13 700 km,Tam,98 000 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9727711-toyota-land-cruiser-prado,0,Toyota,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2022,5,"Offroader / SUV, 5 qapı"
Bakı,G 63 AMG,Xeyr,4.0 L / 585 a.g. / Benzin,74 529 km,Tam,≈ 287 300 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9642427-mercedes-g-63-amg,0,Mercedes,"Vuruğu yoxdur, rənglənməyib",Amerika,2021,5,"Offroader / SUV, 5 qapı"
Gəncə,C 220,Xeyr,2.2 L / 125 a.g. / Dizel,309 981 km,Arxa,11 500 AZN,Avtomat (AT),Gümüşü,,https://turbo.az/autos/9741637-mercedes-c-220,,Mercedes,"Vuruğu yoxdur, rənglənməyib",,2000,5,Sedan
Bakı,Fusion (North America),Xeyr,1.5 L / 181 a.g. / Benzin,61 000 km,Ön,20 500 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9694851-ford-fusion-north-america,,Ford,"Vuruğu yoxdur, rənglənməyib",Amerika,2018,5,Sedan
Bakı,Land Cruiser,Xeyr,4.0 L / 282 a.g. / Benzin,150 000 km,Tam,≈ 48 450 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9430174-toyota-land-cruiser,1,Toyota,"Vuruğu yoxdur, rənglənməyib",Dubay,2011,5,"Offroader / SUV, 5 qapı"
Bakı,9X,Bəli,2.0 L / 898 a.g. / Plug-in Hibrid,0 km,Tam,≈ 113 560 AZN,Avtomat (Variator),Qara,,https://turbo.az/autos/9741629-zeekr-9x,,ZEEKR,"Vuruğu yoxdur, rənglənməyib",Çin,2025,6,"Offroader / SUV, 5 qapı"
Bakı,C 240,Xeyr,2.4 L / 170 a.g. / Benzin,471 613 km,Arxa,10 500 AZN,Avtomat (AT),Gümüşü,,https://turbo.az/autos/9421202-mercedes-c-240,1,Mercedes,"Vuruğu yoxdur, rənglənməyib",,1999,5,Sedan
Balakən,53212,Xeyr,11 L / 191 a.g. / Dizel,760 000 km,Arxa,31 000 AZN,Mexaniki (MT),Mavi,,https://turbo.az/autos/9741548-kamaz-53212,,KamAz,"Vuruğu yoxdur, rənglənməyib",Rusiya,1987,,Yük maşını
Bakı,Fusion (North America),Xeyr,1.5 L / 181 a.g. / Benzin,147 000 km,Ön,19 900 AZN,Avtomat (AT),Yaş Asfalt,,https://turbo.az/autos/9735827-ford-fusion-north-america,0,Ford,"Vuruğu yoxdur, rənglənməyib",Amerika,2016,5,Sedan
Bakı,E 220,Xeyr,2.1 L / 170 a.g. / Dizel,205 000 km,Arxa,26 000 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9738698-mercedes-e-220,,Mercedes,"Vuruğu yoxdur, rənglənməyib",Koreya,2013,5,Sedan
Bakı,S 500 4MATIC,Xeyr,3.0 L / 435 a.g. / Benzin,85 000 km,Tam,≈ 229 500 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9704834-mercedes-s-500-4matic,,Mercedes,"Vuruğu yoxdur, rənglənməyib",Avropa,2021,4,Sedan
Bakı,Sprinter 515,Xeyr,2.7 L / 200 a.g. / Dizel,514 526 km,Arxa,65 000 AZN,Mexaniki (MT),Ağ,,https://turbo.az/autos/9741630-mercedes-sprinter-515,,Mercedes,"Vuruğu yoxdur, rənglənməyib",Amerika,2008,8+,Mikroavtobus
Bakı,Seal 05,Bəli,1.5 L / 163 a.g. / Plug-in Hibrid,0 km,Ön,22 300 AZN,Avtomat (Variator),Ağ,,https://turbo.az/autos/9724086-byd-seal-05,0,BYD,"Vuruğu yoxdur, rənglənməyib",Çin,2025,5,Sedan
